STT,ID Slug,Code,Khu vực,Tên gốc (trước sáp nhập),Tên hiển thị (sau sáp nhập),Tỉnh cũ,Tỉnh mới,Địa chỉ cũ (chi tiết),Địa chỉ mới (sau sáp nhập chi tiết),Lat,Lng,Google Maps Place URL,Google Maps Embed iframe HTML,Phone 1,Phone 2,Email,Website subpath,Trạng thái,Giờ T2-T6,Giờ T7,Giờ CN,Quản lý điểm,Ngày cập nhật (DD/MM/YYYY),Cap: Phim 3M,Cap: Phim LLumar,Cap: PPF SunTek,Cap: Đèn Bi Led Xlight,Cap: Đèn GTR,Cap: Camera hành trình,Cap: Âm thanh,Cap: DVD Android,Cap: Xe điện / VinFast,Ảnh mặt tiền URL,Ảnh interior 1 URL,Ảnh interior 2 URL,Video giới thiệu URL,Google Business Profile URL,Facebook Fanpage URL,Zalo OA URL,Rating GBP (0-5),Số review GBP,Ghi chú riêng
44,quang-nam,A365·BR·053,Miền Trung & Tây Nguyên,Auto365 Quảng Nam,Auto365 Quảng Nam (Đà Nẵng mới),Quảng Nam,Đà Nẵng,74-76 Nguyễn Văn Trỗi,"74 - 76 Nguyễn Văn Trỗi, Phường Bàn Thạch, Thành Phố Đà Nẵng",15.89173,108.32093,,,0986.815.442,,,/quang-nam,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-quang-nam/auto365-quang-nam-1.jpg,,,,,,,,,
45,dak-lak,A365·BR·058,Miền Trung & Tây Nguyên,Auto365 Buôn Ma Thuột,Auto365 Buôn Ma Thuột,Đắk Lắk,Đắk Lắk,95 Phạm Ngũ Lão,"Số 95, đường Phạm Ngũ Lão, Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",12.69211,108.03202,,,0932.444.414,0947.365.365,,/dak-lak,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-buon-ma-thuot/auto365-buon-ma-thuot.jpg,,,,,,,,,
46,dak-nong,A365·BR·054,Miền Trung & Tây Nguyên,Auto365 Đắk Nông,Auto365 Đắk Nông (Đắk Lắk mới),Đắk Nông,Lâm Đồng,141 Hùng Vương,"Số 141, Đường Hùng Vương, Phường Đông Gia Nghĩa, Tỉnh Lâm Đồng",11.9467,108.49082,,,035.365.4848,,,/dak-nong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/ĐĂK NÔNG/Auto365 Đăk Nông.png,,,,,,,,,
47,gia-lai,A365·BR·059,Miền Trung & Tây Nguyên,Auto365 Gia Lai,Auto365 Gia Lai,Gia Lai,Gia Lai,592 Phạm Văn Đồng,"Số 592 Phạm Văn Đồng, Phường Thống Nhất, TP. Pleiku, Gia Lai",14.01699,107.99197,,,036.886.8181,,,/gia-lai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/GIA LAI/Auto365 Gia Lai.jpg,,,,,,,,,
48,auto365-gia-lai-cn2,A365·BR·075,Miền Trung & Tây Nguyên,Auto365 Gia Lai - Chi Nhánh 2,Auto365 Gia Lai - Chi Nhánh 2,Gia Lai,Gia Lai,39 Quyết Tiến,"Số 39 Quyết Tiến, TP. Pleiku, Gia La",13.97203,107.99841,,,036 886 8181,,,/auto365-gia-lai-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/TÂY NGUYÊN/auto365-gia-laicn2.jpg,,,,,,,,,
49,quy-nhon,A365·BR·010,Miền Trung & Tây Nguyên,Auto365 Quy Nhơn,Auto365 Quy Nhơn (Gia Lai Mới),Bình Định,Gia Lai,Số 31 Đường Thanh Niên,"Số 31 đường Thanh Niên, phường Quy Nhơn Nam, tỉnh Gia Lai",13.88468,109.10543,,,070.700.8868,,,/quy-nhon,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-quy-nhon.jpg,,,,,,,,,
50,phu-yen,A365·BR·009,Miền Trung & Tây Nguyên,Auto365 Phú Yên,Auto365 Phú Yên (Gia Lai Mới),Phú Yên,Đắk Lắk,365 Đại Lộ Hùng Vương,"365 Đại lộ Hùng Vương, Phường Tuy Hòa, Tỉnh Đắk Lắk",13.07001,109.32751,,,0783.365.365,,,/phu-yen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/phu-yen/auto365-phu-yen-14.jpg,,,,,,,,,
51,ha-tinh,A365·BR·007,Miền Trung & Tây Nguyên,Auto365 Hà Tĩnh,Auto365 Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,43 Nguyễn Hoành Từ,"Số 43 Nguyễn Hoành Từ, Phường Thành Sen, TP. Hà Tĩnh.",18.34,105.9,,,0877.333.365,0343.363.346,,/ha-tinh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365 hà tĩnh.jpg,,,,,,,,,
52,ha-tinh-cn2,A365·BR·049,Miền Trung & Tây Nguyên,Auto365 Hà Tĩnh - Chi Nhánh 2,Auto365 Hà Tĩnh - Chi Nhánh 2,Hà Tĩnh,Hà Tĩnh,Ngã 3 Bích Châu,"Ngã 3 Bích Châu, Xã Kỳ Anh, Tỉnh Hà Tĩnh",18.07239,106.32553,,,0888.333.365,,,/ha-tinh-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-ha-tinh-cn2.jpg,,,,,,,,,
53,auto365-ha-tinh-cn3,A365·BR·070,Miền Trung & Tây Nguyên,Auto365 Hà Tĩnh - Chi Nhánh 3,Auto365 Hà Tĩnh - Chi Nhánh 3,Hà Tĩnh,Hà Tĩnh,"Số 287, Khối 11, Đường mòn Hồ Chí Minh, TT. Hương Khê",,18.34,105.9,,,0828.333.365,,,/auto365-ha-tinh-cn3,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-ha-tinh-cn3/auto365-ha-tinh-cn3-2.png,,,,,,,,,
54,nghe-an,A365·BR·013,Miền Trung & Tây Nguyên,Auto365 Nghệ An,Auto365 Nghệ An,Nghệ An,Nghệ An,"199B Nguyễn Trãi, Nghi Phú","199 Nguyễn Trãi, Phường Quán Bàu, Thành phố Vinh, tỉnh Nghệ An",18.68,105.68,,,0947.606.777,,,/nghe-an,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-nghe-an/auto365-nghe-an-1.jpg,,,,,,,,,
55,quang-ngai,A365·BR·051,Miền Trung & Tây Nguyên,Auto365 Quảng Ngãi,Auto365 Quảng Ngãi,Quảng Ngãi,Quảng Ngãi,244-246 Nguyễn Tự Tân,"số 244 - 246 Nguyễn Tự Tân, phường Trần Phú, TP. Quảng Ngãi.",15.12388,108.79266,,,0943545558,,,/quang-ngai,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/tin tức/2024/t5/auto365-quang-ngai/auto365-quang-ngai-2.jpg,,,,,,,,,
56,quang-binh,A365·BR·057,Miền Trung & Tây Nguyên,Auto365 Quảng Bình,Auto365 Quảng Bình (Quảng Trị mới),Quảng Bình,Quảng Trị,12 Nguyễn Trường Tộ,,16.75064,107.19379,,,0889.728.888,0816.365.365,,/quang-binh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365 quang binh.jpg,,,,,,,,,
57,quang-binh-2,A365·BR·052,Miền Trung & Tây Nguyên,Auto365 Quảng Bình - Chi Nhánh 2,Auto365 Quảng Bình - Chi Nhánh 2,Quảng Bình,Quảng Trị,157 Quang Trung,,17.75688,106.41506,,,0889.728.888,,,/quang-binh-2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/quang-binh-cn2.jpg,,,,,,,,,
58,quang-tri,A365·BR·011,Miền Trung & Tây Nguyên,Auto365 Quảng Trị,Auto365 Quảng Trị,Quảng Trị,Quảng Trị,18 Lê Lợi,"18 Lê Lợi, Phường Nam Đông Hà, Tỉnh Quảng Trị.",17.44409,106.6112,,,0915.3133.86,0365.599.365,,/quang-tri,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-quang-tri/auto365-quang-tri -14.jpg,,,,,,,,,
59,thanh-hoa,A365·BR·012,Miền Trung & Tây Nguyên,Auto365 Thanh Hóa,Auto365 Thanh Hóa,Thanh Hóa,Thanh Hóa,"Lô 125 Dương Đình Nghệ, P. Hạc Thành","Lô 125 Đường Dương Đình Nghệ, Khu Đông Bắc Ga, Phường Hạc Thành, Tỉnh Thanh Hóa",19.81,105.78,,,,,,/thanh-hoa,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365-thanh-hoa.jpg,,,,,,,,,
60,hue,A365·BR·014,Miền Trung & Tây Nguyên,Auto365 Huế,Auto365 Huế (Thừa Thiên Huế  ),Thừa Thiên Huế,Thừa Thiên Huế,148 Trương Gia Mô,"Số 148 Đường Trương Gia Mô, Phường Vỹ Dạ, TP Huế, Tỉnh Thừa Thiên Huế",16.47885,107.60036,,,093 531 4477,,,/hue,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/auto365hue.jpg,,,,,,,,,
61,nha-trang,A365·BR·008,Miền Trung & Tây Nguyên,Auto365 Nha Trang,Auto365 Nha Trang,Khánh Hòa,Khánh Hòa,847 Đường 2 Tháng 4,"847 đường 2/4, Phường Bắc Nha Trang, tỉnh Khánh Hòa",12.30493,109.18602,,,0792.365.365,0896.365.365,,/nha-trang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/Nhatrangcn1.jpg,,,,,,,,,
62,nha-trang-cn2,A365·BR·050,Miền Trung & Tây Nguyên,Auto365 Nha Trang - Chi Nhánh 2,Auto365 Nha Trang - Chi Nhánh 2,Khánh Hòa,Khánh Hòa,549 Đường 23/10 (hướng Cầu Dứa),"549 đường 23/10, Phường Tây Nha Trang, tỉnh Khánh Hòa",12.24,109.19,,,0774.365.365,0584.365.365,,/nha-trang-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/Auto365 Nha Trang CN2.jpg,,,,,,,,,
63,ninh-hoa,A365·BR·068,Miền Trung & Tây Nguyên,Auto365 Ninh Hòa,Auto365 Ninh Hòa (Khánh Hòa  ),Ninh Hòa (Khánh Hòa),Khánh Hòa,"Số 616 Đường Trần Quý Cáp, TDP 1","Số 616, Đường Trần Quý Cáp, Tổ dân phố 1, Phường Ninh Hiệp, Thị xã Ninh Hòa, Khánh Hòa",12.24,109.19,,,0582.365.365,,,/ninh-hoa,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-ninh-hoa/auto365-ninh-hoa.jpg,,,,,,,,,
64,cam-lam,A365·BR·005,Miền Trung & Tây Nguyên,Auto365 Cam Lâm,Auto365 Cam Lâm (Khánh Hòa),Cam Lâm (Khánh Hòa),Khánh Hòa,220C Trường Chinh,,11.92556,109.17143,,,0989 808 858,,,/cam-lam,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-cam-lam/auto365-cam-lam.jpg,,,,,,,,,
65,ninh-thuan,A365·BR·015,Miền Trung & Tây Nguyên,Auto365 Ninh Thuận,Auto365 Ninh Thuận (Khánh Hòa mới),Ninh Thuận,Khánh Hòa,64 Nguyễn Văn Cừ,"Ngã 4 Nguyễn Văn Cừ - Nguyễn Tri Phương, Khu Phố 12, Phường Ninh Chử, Tỉnh Khánh Hoà",11.57833,108.99731,,,093.795.52.27,,,/ninh-thuan,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN TRUNG/Auto365 Ninh Thuận.jpg,,,,,,,,,
66,an-giang,A365·BR·064,Miền Nam,Auto365 An Giang,Auto365 An Giang,An Giang,An Giang,54 Nguyễn Văn Linh,"439 Hà Hoàng Hổ, Phường Long Xuyên, Tỉnh An Giang",10.36898,105.4337,,,0969.141.143,,,/an-giang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/an-giang/auto365-an-giang-16.jpg,,,,,,,,,
67,phu-quoc,A365·BR·003,Miền Nam,Auto365 Phú Quốc,Auto365 Phú Quốc (Tỉnh An Giang mới),Kiên Giang,An Giang,"Tổ 02, ấp Suối Mây","Tổ 02, ấp Suối Mây, Phường Dương Tơ, Thành phố Phú Quốc, Tỉnh An Giang",10.52,105.13,,,0832.292.323,,,/phu-quoc,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/phu-quoc/auto365-phu-quoc-1.jpg,,,,,,,,,
68,bac-lieu,A365·BR·061,Miền Nam,Auto365 Bạc Liêu,Auto365 Bạc Liêu (Cà Mau mới),Bạc Liêu,Cà Mau,29 Đường 23 Tháng 8,"29 Đường 23 Tháng 8, Phường Bạc Liêu, Cà Mau",9.29654,105.70414,,,0913.031.313,0929.031.313,,/bac-lieu,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/AUTO365 BẠC LIÊU (1).jpg,,,,,,,,,
69,bien-hoa,A365·BR·066,Miền Nam,Auto365 Biên Hòa,Auto365 Biên Hòa,Đồng Nai,Đồng Nai,"K8, Khu phố 7","Số K8, khu phố 7, Phường Trấn Biên, Tỉnh Đồng Nai",10.90634,106.88975,,,0844.365.365,,,/bien-hoa,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/auto365 biên hòa.png,,,,,,,,,
70,binh-phuoc,A365·BR·077,Miền Nam,Auto365 Bình Phước,Auto365 Bình Phước (Đồng Nai mới),Bình Phước,Đồng Nai,"99-101 Võ Văn Tần, Tổ 1, KP. Tân Trà 1","Số 99, Đường Võ Văn Tần, Phường Bình Phước, Tỉnh Đồng Nai",11.65756,106.61312,,,0963.906.907,0372.365.365,,/binh-phuoc,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/365-binh-phuoc.jpg,,,,,,,,,
71,can-tho,A365·BR·072,Miền Nam,Auto365 Cần Thơ,Auto365 Cần Thơ,Cần Thơ,Thành phố Cần Thơ,39 Đường 3/2,"Số 39 đường 3/2 Phường Tân An, Thành Phố Cần Thơ.",9.77879,105.48546,,,0387.797.999,,,/can-tho,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-can-tho/auto365-can-tho.jpg,,,,,,,,,
72,auto365-hau-giang,A365·BR·078,Miền Nam,Auto365 Hậu Giang,Auto365 Hậu Giang (Thành phố Cần Thơ mới),Hậu Giang,Cần Thơ,603 Trần Hưng Đạo,"603 Trần Hưng Đạo, Phường Vị Thanh, Tp. Cần Thơ.",10.03651,105.77597,,,0364442010,,,/auto365-hau-giang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto-365-hau-giang/auto365-hau-giang-1.jpg,,,,,,,,,
73,dong-thap,A365·BR·063,Miền Nam,Auto365 Đồng Tháp,Auto365 Đồng Tháp,Đồng Tháp,Đồng Tháp,58 Lý Thường Kiệt,"số 58 Lý Thường Kiệt, Khóm 1, Phường 2, TP. Sa Đéc, Đồng Tháp",10.36061,106.35305,,,0902.737.939,0819.191.519,,/dong-thap,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/AUTO365 ĐỒNG THÁPP (1).jpg,,,,,,,,,
74,tien-giang,A365·BR·069,Miền Nam,Auto365 Tiền Giang,Auto365 Tiền Giang (Đồng Tháp mới),Tiền Giang,Đồng Tháp,288 Hùng Vương nối dài,"Số 288, đường Hùng Vương, Phường Mỹ Phong, Tỉnh Đồng Tháp",10.47,105.63,,,0909.593.971,0858.365.365,,/tien-giang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/AUTO365 TIỀN GIANG.jpg,,,,,,,,,
75,long-an,A365·BR·067,Miền Nam,Auto365 Long An,Auto365 Long An (Tây Ninh mới),Long An,Tây Ninh,51 Long Bình,"51 Long Bình, Xã Mỹ Yên, Tỉnh Tây Ninh",10.67298,106.54597,,,0365.365.765,,,/long-an,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/tin tức/2024/t5/long-an/auto365-long-an-1.jpg,,,,,,,,,
76,tay-ninh,A365·BR·076,Miền Nam,Auto365 Tây Ninh,Auto365 Tây Ninh,Tây Ninh,Tây Ninh,Quốc lộ 22,"Quốc lộ 22, Khu phố Chánh, Phường Gò Dầu, Tỉnh Tây Ninh",11.07772,106.27372,,,0522.365.365,0567.365.365,,/tay-ninh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/Auto365 Tây Ninh.jpg,,,,,,,,,
77,tra-vinh,A365·BR·074,Miền Nam,Auto365 Trà Vinh,Auto365 Trà Vinh (Vĩnh Long mới),Trà Vinh,Vĩnh Long,"171 QL60, Khóm 6","Đường Quốc lộ 60, Khóm 6, phường Nguyệt Hóa, thành phố Trà Vinh, tỉnh Vĩnh Long.",10.25,105.97,,,0886.365.365,,,/tra-vinh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/AUTO365 TRA VINH.jpg,,,,,,,,,
78,vinh-long,A365·BR·071,Miền Nam,Auto365 Vĩnh Long,Auto365 Vĩnh Long,Vĩnh Long,Vĩnh Long,96A Trần Đại Nghĩa,"Số 96A Đường Trần Đại Nghĩa, Phường Phước Hậu, Thành Phố Vĩnh Long, Tỉnh Vĩnh Long",10.0524,105.98841,,,0789558800,,,/vinh-long,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/vinh-long/auto365-vinh-long-14.jpg,,,,,,,,,
79,ben-tre,A365·BR·060,Miền Nam,Auto365 Bến Tre,Auto365 Bến Tre (Vĩnh Long mới),Bến Tre,Vĩnh Long,T604 Đường Ca Văn Thỉnh,"T604 Ca Văn Thỉnh, Phường Phú Khương, Tỉnh Vĩnh Long",10.25,105.97,,,0967 666 766,0978 30 90 79,,/ben-tre,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-ben-tre/auto365-ben-tre-1.jpg,,,,,,,,,
80,thu-duc,A365·BR·001,Miền Nam,Auto365 Thủ Đức,Auto365 Thủ Đức,Thủ Đức,TP. Hồ Chí Minh,"4/4/1/7 Đường số 3, P.Hiệp Bình, TP.Hồ Chí Minh (gần KĐT Vạn Phúc)","Số 4/4/1/7 Đường Số 3, Phường Hiệp Bình, Thành Phố Hồ Chí Minh",10.77,106.7,,,0365.365.365,0365.365.911,,/thu-duc,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/branch/auto365vn-1jpg-img_69e58319aee2f5.16637466_.jpg,,,,,,,,,
81,quan-tan-phu,A365·BR·088,Miền Nam,Auto365 Tân Phú,Auto365 Tân Phú,Tân Phú,TP.HCM,20/54A Đường Bờ Bao 1 (Tân Thắng),"20/54a Đường (Bờ Bao 1) Tân Thắng ,Phường Tây Thạnh,Thành Phố Hồ Chí Minh",10.77,106.7,,,0564.365.365,0569.365.365,,/quan-tan-phu,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-tan-phu/auto-365-tan-phu-1.jpg,,,,,,,,,
82,A365·BR·090,A365·BR·090,Miền Nam,Auto365 Quận 6 - HCM,Auto365 Quận 6 - HCM,Quận 6,TP.HCM,,"60 - 62 đường Vành Đai, Phường Bình Phú, Thành phố Hồ Chí Minh",10.748,106.636,,,,,,/A365·BR·090,pending,,,,,,,,,,,,,,,,,,,,,,,,
83,quan-7,A365·BR·083,Miền Nam,Auto365 Quận 7 - HCM,Auto365 Quận 7 - HCM,Quận 7,TP.HCM,"123-125 Đường số 9, Khu Trung Sơn","123-125 Đường số 9, KDC Trung Sơn, xã Bình Hưng, Tp.HCM, Việt Nam",10.77,106.7,,,0906.900.365,0906.977.365,,/quan-7,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-quan-7/auto365-quan-7.jpg,,,,,,,,,
84,quan-9,A365·BR·085,Miền Nam,Auto365 Quận 9 - HCM,Auto365 Quận 9 - HCM,Quận 9,TP.HCM,"330 Hoàng Hữu Nam, KP. Giãn Dân","Số 330 Đường Hoàng Hữu Nam, Khu Phố Giãn Dân, Phường Long Bình, Thành phố Hồ Chí Minh",10.77,106.7,,,0365.931.365,,,/quan-9,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/quan-9/auto365-quan-9-1.jpg,,,,,,,,,
85,binh-duong,A365·BR·079,Miền Nam,Auto365 Bình Dương,Auto365 Bình Dương (Thành phố Hồ Chí Minh mới),Bình Dương,TP.HCM,63 Đường Trương Định,"Số 101 Đường Trương Định, Phường Hiệp Thành, Thành Phố Hồ Chí Minh",10.71813,106.62013,,,0568.365.365,,,/binh-duong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-binh-duong/auto365-binh-duong.jpg,,,,,,,,,
86,,,Miền Nam,Auto365 Bình Dương - Chi Nhánh 2,Auto365 Bình Dương - Chi Nhánh 2,,,,"Số 63 Trương Định, Khu phố 7, Phường Phú Lợi, Thành phố Hồ Chí Minh",,,,,,,,,active,,,,,,,,,,,,,,,,,,,,,,,,
87,,,Miền Nam,Auto365 Bình Dương - Chi Nhánh 3,Auto365 Bình Dương - Chi Nhánh 3,,,,"Số 2/31A Đường Bình Đức, Phường Bình Hòa,  Thành Phố Hồ Chí Minh",,,,,,,,,active,,,,,,,,,,,,,,,,,,,,,,,,
88,cu-chi,A365·BR·081,Miền Nam,Auto365 Củ Chi - HCM,Auto365 Củ Chi - HCM,Củ Chi,TP.HCM,"122 Tỉnh lộ 8, Khu phố 2","Số 122 Tỉnh Lộ 8, Khu Phố 2, Xã Tân An, Thành phố Hồ Chí Minh",10.77,106.7,,,0961.894.494,0921.365.365,,/cu-chi,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/Auto365 Củ Chi.jpg,,,,,,,,,
89,vung-tau,A365·BR·065,Miền Nam,Auto365 Vũng Tàu,Auto365 Vũng Tàu (TP. Hồ Chí Minh mới),Vũng Tàu,TP.HCM,"Tổ 1, QL51, KP. Hương Giang","Tổ 1 - QL51 - Kp Hương Giang, Phường Long Hương, Thành Phố Hồ Chí Minh",10.77,106.7,,,0342.365.365,,,/vung-tau,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN NAM/auto365-vung-tau.jpg,,,,,,,,,